Text,Entity Type
1,
liber,
unus,
.,
1,
1,
testimonium,
ignorantia,
uester,
qui,
iniquitas,
dum,
defendo,
reuincio|reuinco,
in,
promptus,
sum,
qui,
omnis,
qui,
uos,
retro,
ignoro,
et,
uos,
odi,
simul,
is,
contingo,
scio,
desino,
odi,
qui,
desino,
ignoro,
imus,
fio,
et,
ipse,
qui,
odi,
et,
incipio,
odi,
qui,
sum,
.,
2,
adeo,
quotidie,
adolesco,
numerus,
Christianus,PERSON
-,
.,
3,
obsideo,
uociferor,
ciuitas,
in,
ager,
in,
castella|castellum,
in,
insula,
Christianus,PERSON
omnis,
sexus,
omnis,
aetas,
omnis,
denique,
dignitas,
transgredior,
a,
uos,
quasi,
detrimentum,
doleo|dolo,
.,
4,
nec,
tamen,
hic,
ipse,
ad,
aestimatio,
aliquis,
lateo,
bonus,
animus,
promoueo,
non,
licet,
rectus,
suspicor,
non,
libet_est|libo,
prope,
experior,
hic,
tantum,
curiositas,
humanus,
torpesco,
.,
5,
-,
ignoro,
qui,
alius,
gaudeo,
inuenio,
?,
?,
?,
?,
nescio,
quia,
jam,
odi,
quasi,
certe,
non,
?,
?,
?,
?,
uos,
scio,
.,
6,
atquin,
si,
nullus,
sum,
odium,
reperio,
bonus,
utique,
ab,
?,
?,
?,
?,
prior,
discedo,
sin,
uero|uerus,
caussa,
consisto|consto,
nihil,
odium,
detraho,
qui,
adeo,
ample|amplius|amplus,
justitia,
scientia,
cumulo,
nisi,
si,
emendo,
pudeo,
aut,
excuso,
piget_est|pigo,PERSON
.,
7,
scio,
plane,
qui,
?,
?,
?,
?,
soleo,
redundantia,
noster,
testimonium,
conuenio,
non,
utique,
is,
bonus,
?,
?,
?,
?,
quia,
?,
?,
?,
?,
conuerto,
et,
se,
rapio,
inquiam,
.,
8,
nosco|noui,
demutatio,
mens|menta|mentum,
et,
malus,
pars,
.,
9,
quot,
desertor,
bonus,
uita,
.,
10,
quot,
transfuga,
in,
-,
.,
11,
multus,
bonus,
fides,
imus,
jam,
plus,
pro,
extremitas,
tempus,
.,
12,
uerum,
deficio,
adaequatio,
comparatio,
iste,
.,
13,
nam,
de,
malus,
ita,
consto,
apud,
omnis,
ut,
ne,
ipse,
quidem,
res|reus,
qui,
ad,
malus,
transeo,
et,
a,
uos,
in,
peruerto,
diuerto,
defendo,
malus,
pro,
bonus,
audeo,
.,
14,
turpis,
timor,
pudor,
impius,
habeo,
denique,
gestio,
lateo,
deuito,
appareo|appario|apparo,
trepido,
deprehendo,
nego,
accuso,
ne,
torqueo,
quidem,
facile,
aut,
semper,
confiteor,
certe,
damno,
moereo,
exprobro,
etenim,
qui,
sum,
in,
sui+met+ipsius,
malus,
mens|menta|mentum,
ab,
innocentia,
-,
uel,
fatum,
imputo,
adeo,
nolo,
suus,
sum,
quia,
malus,
nego,
non,
possum,
.,
15,
Christianus,PERSON
uero|uerus,
quis,
talis,
consequor,
.,
16,
nemo,
pudeo,
nemo,
poeniteo,
nisi,
tantus,
pristinus,
.,
17,
si,
denoto,
glorior,
si,
traho,
non,
subsisto,
.,
18,
si,
accuso,
non,
defendo,
interrogo,
confiteor,
damno,
glorior,
.,
19,
qui,
hic,
malus,
sum,
in,
qui,
malus,
natura,
cesso,
.,
1,
1,
in,
qui,
ipse,
etiam,
contra,
forma,
indico,
malum|malus,
-,
.,
2,
nam,
noceo,
quidem,
perduco,
si,
-,
nego,
tormentum,
urgeo,
ad,
confessio,
Christianus,PERSON
uero|uerus,
spons,
confiteor,
tormentum,
comprimo,
ad,
negatio,
.,
3,
qui,
tantus,
?,
?,
?,
?,
ut,
confessio,
repugno,
tormentum,
officium,
muto,
gratis,
rea|reus,
euado,
inuitus,
compello,
nego,
.,
4,
praeses,
extorqueo,
ueritas,
de,
solus,
nos,
mendacium,
exquiro,
ut,
dico,
nos,
non,
sum,
qui,
sum,
.,
5,
opinor,
non,
uolo,
nos,
malus,
sum,
?,
?,
?,
?,
gestio,
de,
iste,
nomen,
excludo,
.,
6,
sane,
caeterus,
ad,
hic,
tendo,
et,
-,
ut,
nego,
sum,
qui,
sum,
dico,
.,
7,
atquin,
ille,
nego,
non,
-,
nos,
si,
nego,
statim,
-,
.,
8,
si,
certus,
sum,
nos,
?,
?,
?,
?,
sum,
cur,
etiam,
in,
hic,
aliter,
qui,
noceo,
a,
uos,
ago,
.,
9,
non,
dico,
qui,
neque,
accusatio,
neque,
recusatio,
spatium,
commodo,
soleo,
et,
?,
?,
?,
?,
et,
indefensus,
non,
temere,
damno,
.,
10,
sed,
uerbum,
gratia,
si,
de,
homicida,
confuto,
non,
statim,
confiteor,
is,
nomen,
homicida,
?,
?,
?,
?,
caussa,
sum,
aut,
satio,
cognitio,
.,
11,
quanquam,
confessum|confessus,
difficilis,
-,
uerus,
insuper,
consequentia,
exigo,
quotiens,
caedes,
ago,
qui,
in,
locum|locus,
qui,
spolium,
socia|socius,
?,
?,
?,
?,
ne,
quis,
omnino,
malus,
homo,
delitesco,
aut,
desum,
aliquis,
instruo,
ad,
sententia,
ueritas,
.,
12,
porro,
de,
nos,
qui,
?,
?,
?,
?,
ac,
plus,
crimen,
deputo,
?,
?,
?,
?,
ac,
?,
?,
?,
?,
elogium,
conficio,
.,
13,
credo,
non,
uolo,
onero,
qui,
omnis,
opus,
perdo,
uolo,
aut,
non,
-,
requiro,
qui,
nosco,
.,
14,
hic,
ergo,
?,
?,
?,
?,
si,
cogo,
nego,
de,
qui,
certo,
-,
imus,
qui,
magis,
odium,
uester,
competo,
sepono,
forma,
judico,
proprius,
studium,
non,
ad,
negatio,
certo|certor,
ne,
qui,
odi,
libero,
sed,
ad,
confessio,
singulus,
scelus,
qui,
magis,
inimicitia,
satio,
ex,
aggeratio,
poena,
dum,
recognosco,
quot,
quisque,
eo,
conuiuium,
ille,
?,
?,
?,
?,
quotiens,
in,
tenebra,
incursio,
incestus,
.,
15,
quis,
.,
16,
qui,
eradico,
gener|genus,
diffundo,
sum,
?,
?,
?,
?,
porrigo,
quaestio,
in,
socius,
?,
?,
?,
?,
.,
17,
perduco,
infantarius,
et,
coquos|coquus,
et,
ipse,
canes|canis,
?,
?,
?,
?,
emendo,
res,
sum,
.,
18,
etiam,
spectaculum,
gratia,
aggrego,
quanto|quantus,
enim,
studium,
in,
cauea,
conuenio,
depugno,
aliquis,
qui,
centum,
infans,
?,
?,
?,
?,
.,
19,
sed,
enim,
tam,
horreo,
?,
?,
?,
?,
monstruosus,
de,
nos,
defero,
.,
20,
utique,
eruum,
debeo,
ne,
incredibilis,
uideo,
et,
odium,
in,
nos,
publicus,
refrigesco,
.,
21,
nam,
et,
?,
?,
?,
?,
fides,
talis,
tempero,
horreo,
natura,
quaero,
pabulum,
ferina,
qui,
concubitus,
ab,
humanus,
genus,
praecludo,
.,
1,
1,
uos,
igitur,
alius,
?,
?,
?,
?,
ac,
?,
?,
?,
?,
?,
?,
?,
?,
scelus,
longe,
paruus,
cum,
talis,
tam,
horreo,
et,
omnis,
impietas,
supergredior,
is,
diligentia,
desero,
neque,
confessio,
recipio,
judico,
semper,
laboro,
neque,
exquisitio,
digero,
damnator,
semper,
consulo,
jam,
appareo|apparo,
omnis,
in,
nos,
crimen,
non,
aliquis,
scelus,
sed,
nomen,
dirigo,
.,
2,
adeo,
si,
de,
crimen,
ueritas,
consto,
ipse,
crimen,
nomen,
damno,
accommodo,
ut,
ita,
pronuntio,
in,
nos,
ille,
homicida,
uel,
incestus,
uel,
quicumque,
jacto,
duco,
suffigo,
ad,
bestia,
do,
placeo|placo,
.,
3,
porro,
sententia,
uester,
nihil,
nisi,
Christianus,PERSON
-,
noto,
nullus,
crimen,
nomen,
exsto,
nisi,
nomen,
crimen,
sum,
hic,
etenim,
sum,
reuera,
ratio,
totus,
odium,
aduersus,
nos,
.,
4,
nomen,
in,
caussa,
sum,
qui,
quidam,
occultus,
uis,
per,
uester,
ignorantia,
oppugno,
ut,
nolo,
scio,
pro,
certus,
qui,
uos,
pro,
certus,
nescio,
certus,
sum,
et,
ideo,
nec,
-,
qui,
non,
probo,
et,
ne,
probo,
facilis,
non,
uolo,
inquiro,
ut,
nomen,
inimicus,
sub,
praesumptio,
crimen,
punio,
adeo,
ut,
de,
nomen,
inimicus,
recedo,
ideo,
nego,
compello,
dehinc,
nego,
libero,
totus,
impunitas,
?,
?,
?,
?,
jam,
non,
?,
?,
?,
?,
neque,
incestus,
quia,
nomen,
ille,
amitto,
.,
5,
sed,
dum,
hic,
ratio,
suus,
locum|locus,
ostendo,
uos,
qui,
insequor,
ad,
expugnatio,
nomen,
edo,
qui,
nomen,
crimen,
qui,
offensa|offensum,
qui,
culpa,
.,
6,
praescribo,
enim,
uos,
non,
possum,
crimen,
objicio,
qui,
neque,
-,
dirigo,
neque,
probatio,
assigno,
neque,
sententia,
enumero,
.,
7,
qui,
praesidium,
offero,
qui,
de,
reus,
inquiro,
qui,
respondeo,
uel,
nego,
qui,
de,
consilium,
recito,
is,
rea|reus,
agnosco,
.,
8,
itaque,
de,
nomen,
meritum,
si,
qui,
reatus,
sum,
nomen,
si,
qui,
accusatio,
uocabulum,
ego,
arbitro,
nullus,
sum,
uocabulum,
aut,
nomen,
querela,
nisi,
cum,
quis,
aut,
barbarus,
sono,
aut,
infaustus,
sapio,
uel,
impudicus,
uel,
aliter,
quam,
enuntio,
delecto,
.,
9,
hic,
uocabulum,
aut,
nomen,
crimen,
sicuti,
uerbum,
atque,
sermo,
barbarismus,
sum,
uitium,
et,
?,
?,
?,
?,
et,
?,
?,
?,
?,
figura,
.,
10,
Christianus,PERSON
uero|uerus,
nomen,
quantus,
significatio,
sum,
de,
unctio,
interpreto,
etiam,
cum,
corrupte,
a,
uos,
Christianus,PERSON
pronuntio,
nam,
ne,
nomen,
quidem,
ipse,
?,
?,
?,
?,
certus,
sum,
sic,
quoque,
de,
suauitas,
uel,
bonitas,
-,
sum,
.,
11,
detineo,
igitur,
in,
homo,
innoxius,
etiam,
nomen,
innoxius,
noster,
non,
incommodus,
lingua,
non,
auris,
asperum,
non,
homo,
malus,
non,
patria,
infestus,
sed,
et,
Graecus,
alius,
et,
sonorus,
et,
interpretatio,
jucundus,
.,
12,
et,
utique,
non,
gladius,
aut,
crux,
aut,
bestia,
punio,
sum,
nomen,
.,
1,
1,
sed,
dico,
seco,
nomen,
punio,
suus,
auctor,
.,
2,
primo,
quidem,
seco,
de,
auctor,
appellatio,
noto,
utique,
probus,
?,
?,
?,
?,
jus,
sum,
dum,
philosophus,
quoque,
de,
auctor,
cognomino,
Pythagoricus,PERSON
et,
platonicus,
ut,
medicus,
?,
?,
?,
?,
et,
grammaticus,
?,
?,
?,
?,
.,
3,
itaque,
si,
ob,
auctor,
malus,
malus,
seco,
tradux,
malus,
nomen,
plecto,
.,
4,
atquin,
