Text,Entity Type
**TOTIUS,
OPERIS,
ARGUMENTUM,PERSON
.,
**,
Imperante,
Septimio,PERSON
Seuero,PERSON
",",
et,
cum,
Antonino,PERSON
filio,
res,
Romanas,
administrante,
",",
Tertullianus,PERSON
",",
uerae,
religionis,
ardore,
flagrans,
",",
illius,
utpote,
sacris,
initiatus,
",",
moleste,
",",
pro,
eo,
ac,
debuit,
",",
patiebatur,
religionem,
",",
quae,
efferre,
sese,
quodammodo,
coeperat,
",",
opprimi,
",",
sub,
initium,
persecutionis,
quintae,
",",
qua,
saeuiente,
",",
insontes,
passim,
Christiani,NORP
",",
nulla,
sexus,
aut,
aetatis,
habita,
ratione,
",",
inauditis,
ante,
illam,
diem,
suppliciis,
cruciabantur,
.,
Pro,
summa,
qua,
tunc,
pollebat,
facundia,
",",
Christianorum,NORP
patrocinium,
suscepit,
",",
quorum,
adeo,
deplorata,
erat,
conditio,
",",
ut,
indicta,
caussa,
",",
et,
solius,
nominis,
praeiudicio,
damnarentur,
.,
Communi,PERSON
malo,
ac,
publico,
occurrere,
",",
et,
erumpentem,
in,
dies,
tempestatem,
",",
quantum,
in,
se,
erat,
",",
compescere,
",",
partes,
suas,
duxit,
",",
missa,
que,
hanc,
ob,
caussam,
ad,
antistites,
romanos,
apologia,
",",
effraenatos,
aduersariorum,
impetus,
fregit,
tantisper,
ac,
debilitauit,
.,
Eo,
quippe,
uigore,
ea,
que,
eruditione,
caussam,
egit,
",",
ut,
si,
rationibus,
et,
ueritate,
disceptandum,
fuisset,
",",
gentiles,
omnes,
redegisset,
ad,
incitas,
.,
Iustini,PERSON
martyris,
et,
Aristidis,PERSON
uestigia,
premere,
poterat,
",",
uerum,
ita,
eloquentiam,
est,
imitatus,
",",
ut,
et,
dicendi,
charactere,
",",
et,
argumentorum,
pondere,
ac,
doctrinae,
uarietate,
",",
utrumque,
superasse,
uideatur,
.,
**CAPUT,
PRIMUM,
.,
**,
ARGUMENTUM,
.,
--,
Cum,
sub,
Seuero,PERSON
negatum,
esset,
Christianis,NORP
in,
iudicio,
se,
defendere,
",",
scriptum,
hoc,
praesidibus,
Romani,NORP
imperii,
obtulit,
auctor,
",",
ostendens,
hoc,
capite,
iniquam,
istam,
iudicandi,
formulam,
",",
per,
quam,
defensio,
negatur,
insontibus,
",",
et,
ueritas,
absconditur,
;,
cum,
interim,
tot,
tanti,
que,
",",
qui,
quotidie,
ad,
hanc,
sectam,
transeant,
",",
illam,
aliqua,
consideratione,
dignam,
faciant,
",",
qui,
sane,
omnes,
",",
remoti,
ab,
aliqua,
peruersitatis,
culpae,
",",
ostendant,
sese,
longe,
alium,
affectum,
induisse,
",",
quam,
istum,
qui,
in,
maleficis,
semper,
deprehenditur,
.,
Si,
non,
licet,
uobis,
",",
Romani,NORP
imperii,
antistites,
",",
in,
aperto,
et,
edito,
ipso,
fere,
uertice,
ciuitatis,
praesidentibus,
ad,
iudicandum,
",",
palam,
dispicere,
et,
coram,
examinare,
quid,
sit,
liquido,
in,
caussa,
Christianorum,NORP
;,
si,
ad,
hanc,
solam,
speciem,
auctoritas,
uestra,
de,
iustitiae,
diligentia,
in,
publico,
aut,
timet,
aut,
erubescit,
inquirere,
;,
si,
denique,
",",
quod,
proxime,
accidit,
",",
domesticis,
iudiciis,
nimis,
operata,
sectae,
huius,
infestatio,
obstruit,
uiam,
defensioni,
",",
liceat,
ueritati,
uel,
occulta,
uia,
tacitarum,
literarum,
ad,
aures,
uestras,
peruenire,
.,
Nihil,
illa,
de,
caussa,
sua,
deprecatur,
",",
quia,
nec,
de,
conditione,
miratur,
.,
Scit,
se,
peregrinam,
in,
terris,
agere,
",",
inter,
extraneos,
facile,
inimicos,
inuenire,
",",
caeterum,
genus,
",",
sedem,
",",
spem,
",",
gratiam,
",",
dignitatem,
in,
coelis,
habere,
.,
Unum,
gestit,
interdum,
",",
ne,
ignorata,
damnetur,
.,
Quid,
hinc,
deperit,
legibus,
in,
suo,
regno,
dominantibus,
",",
si,
audiatur,
?,
Ad,
hoc,
magis,
gloriabitur,
potestas,
earum,
",",
quod,
etiam,
auditam,
damnabunt,
ueritatem,
?,
Caeterum,PERSON
",",
inauditam,
si,
damnent,
",",
praeter,
inuidiam,
iniquitatis,
etiam,
suspicionem,
merebuntur,
alicuius,
conscientiae,
",",
nolentes,
audire,
",",
quod,
auditum,
damnare,
non,
possint,
.,
Hanc,
itaque,
primam,
caussam,
apud,
uos,
collocamus,
",",
iniquitatem,
odii,
erga,
nomen,
Christianorum,NORP
.,
Quam,
iniquitatem,
idem,
titulus,
et,
onerat,
et,
reuincit,
",",
qui,
uidetur,
excusare,
",",
ignorantia,
scilicet,
.,
Quid,
enim,
iniquius,
",",
quam,
ut,
oderint,
homines,
",",
quod,
ignorant,
etiamsi,
res,
mereretur,
odium,
?,
Tunc,
etenim,
meretur,
",",
cum,
cognoscitur,
",",
an,
mereatur,
.,
Uacante,PERSON
autem,
meriti,
notitia,
",",
unde,
odii,
iustitia,
defenditur,
quae,
non,
de,
euentu,
",",
sed,
de,
conscientia,
probanda,
est,
?,
Cum,
ergo,
propterea,
oderint,
homines,
",",
quia,
ignorant,
",",
quale,
sit,
quod,
oderunt,
",",
cur,
non,
liceat,
eiusmodi,
illud,
esse,
",",
quod,
non,
debeant,
odisse,
?,
Ita,
utrumque,
ex,
alterutro,
redarguimus,
",",
et,
ignorare,
illos,
",",
dum,
oderunt,
",",
et,
iniuste,
odisse,
",",
dum,
ignorant,
.,
Testimonium,
ignorantiae,
est,
",",
quae,
iniquitatem,
",",
dum,
excusat,
",",
condemnat,
;,
cum,
omnes,
",",
qui,
retro,
oderant,
",",
quia,
ignorabant,
quale,
esset,
quod,
oderant,
",",
simul,
ut,
desinunt,
ignorare,
",",
cessent,
et,
odisse,
.,
Ex,
his,
fiunt,
Christiani,NORP
",",
utique,
de,
comperto,
et,
incipiunt,
odisse,
quod,
fuerant,
",",
et,
profiteri,
quod,
oderant,
;,
et,
sunt,
tanti,
",",
quanti,
et,
denotamur,
.,
Obsessam,LOC
uociferantur,
ciuitatem,
",",
in,
agris,
",",
in,
castellis,
",",
in,
insulis,
Christianos,NORP
;,
omnem,
sexum,
",",
aetatem,
",",
conditionem,
",",
etiam,
dignitatem,
transgredi,
ad,
hoc,
nomen,
